"fecha","hora","contexto","componente","nombre","user id","descripcion","module id"
"27/02/2017","10:24","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","391864","viewed the page with id '5289' for the wiki with course","2669837"
"27/02/2017","10:24","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","391864","viewed the page with id '5048' for the wiki with course","2669837"
"27/02/2017","10:24","Wiki: Apuntes de clase","Wiki","Mapa de la pÃ¡gina wiki visto","391864","viewed the wiki map for the page with id '5048' for the wiki with course","2669837"
"27/02/2017","10:24","Wiki: Apuntes de clase","Wiki","Historia de la wiki vista","391864","viewed the history for the page with id '5048' for the wiki with course","2669837"
"27/02/2017","10:24","Wiki: Apuntes de clase","Wiki","Comentarios vistos","391864","viewed the comments for the page with id '5048' for the wiki with course","2669837"
"27/02/2017","10:24","Wiki: Apuntes de clase","Wiki","MÃ³dulo de curso visto","391864","viewed the 'wiki' activity with course","2669837"
"27/02/2017","10:24","Curso: FC Grupo E","Sistema","Curso visto","391864","viewed the section number '5' of the course","NULL"
"27/02/2017","10:24","Curso: FC Grupo E","Sistema","Curso visto","391864","viewed the section number '-1' of the course","NULL"
"27/02/2017","10:24","PÃ¡gina: Temario 2Âº Cuatrimestre","PÃ¡gina","MÃ³dulo de curso visto","391864","viewed the 'page' activity with course","2670428"
"27/02/2017","10:23","Curso: FC Grupo E","Sistema","Curso visto","391864","viewed the section number '-1' of the course","NULL"
"26/02/2017","10:19","Curso: FC Grupo E","Sistema","Curso visto","68626","viewed the section number '-1' of the course","NULL"
"26/02/2017","10:05","Wiki: Apuntes de clase","Wiki","Historia de la wiki vista","68626","viewed the history for the page with id '5292' for the wiki with course","2669837"
"26/02/2017","10:04","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","68626","viewed the page with id '5292' for the wiki with course","2669837"
"26/02/2017","10:04","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","68626","viewed the page with id '5291' for the wiki with course","2669837"
"26/02/2017","10:02","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","68626","viewed the page with id '5292' for the wiki with course","2669837"
"26/02/2017","10:02","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","68626","viewed the page with id '5289' for the wiki with course","2669837"
"26/02/2017","10:01","Wiki: Apuntes de clase","Wiki","MÃ³dulo de curso visto","68626","viewed the 'wiki' activity with course","2669837"
"26/02/2017","10:01","Curso: FC Grupo E","Sistema","Curso visto","68626","viewed the section number '5' of the course","NULL"
"26/02/2017","10:01","Curso: FC Grupo E","Sistema","Curso visto","68626","viewed the section number '-1' of the course","NULL"
"24/02/2017","10:50","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","394501","viewed the page with id '5290' for the wiki with course","2669837"
